Symbol,Name,NSE Code,BSE Code,Close Price,Volume,Screener Count,High Conviction
APLAPOLLO,Apl Apollo Tubes Limited,APLAPOLLO,533758,2245.9,374996,4,Yes
ASHOKLEY,Ashok Leyland Limited,ASHOKLEY,500477,204.63,26832686,4,Yes
ASTRAL,Astral Ltd,ASTRAL,532830,1596.5,585825,4,Yes
BAJAJ-AUTO,Bajaj Auto Limited,BAJAJ-AUTO,532977,9760.0,120688,4,Yes
BANKINDIA,Bank Of India,BANKINDIA,532149,161.79,8120034,4,Yes
BEL,Bharat Electronics Limited,BEL,500049,435.55,14086068,4,Yes
BHARATFORG,Bharat Forge Limited,BHARATFORG,500493,1738.8,4313855,4,Yes
BSE,BSE (Bombay stock exchange),BSE,20,3025.3,3885000,4,Yes
GRASIM,Grasim Industries Limited,GRASIM,500300,2888.0,419620,4,Yes
INDUSTOWER,Indus Towers Ltd (Bharti Infratel),INDUSTOWER,534816,466.6,4313315,4,Yes
IOC,Indian Oil Corporation Limited,IOC,530965,176.77,9835632,4,Yes
JINDALSTEL,Jindal Steel Ltd,JINDALSTEL,532286,1184.7,1302484,4,Yes
JSWSTEEL,Jsw Steel Limited,JSWSTEEL,500228,1232.0,1726700,4,Yes
KEI,Kei Industries Limited,KEI,517569,4566.8,184007,4,Yes
LUPIN,Lupin Limited,LUPIN,500257,2199.3,1126141,4,Yes
MARICO,Marico Limited,MARICO,531642,760.15,966405,4,Yes
MFSL,Max Financial Services Limited,MFSL,500271,1824.9,1588459,4,Yes
MOTHERSON,Samvardhana Motherson International Ltd,MOTHERSON,517334,131.26,19324007,4,Yes
ONGC,Oil & Natural Gas Corporation Limited,ONGC,500312,267.4,20748628,4,Yes
POWERINDIA,Hitachi Energy India Ltd,POWERINDIA,543187,22418.0,72497,4,Yes
SAIL,Steel Authority Of India Limited,SAIL,500113,159.28,19899685,4,Yes
SBIN,State Bank Of India,SBIN,500112,1198.6,18141390,4,Yes
SHRIRAMFIN,Shriram Finance Ltd,SHRIRAMFIN,511218,1065.8,4555743,4,Yes
SONACOMS,Sona BLW Precision Forgings Ltd,SONACOMS,543300,527.95,1082968,4,Yes
TATASTEEL,Tata Steel Limited,TATASTEEL,500470,203.18,25870923,4,Yes
TORNTPHARM,Torrent Pharmaceuticals Limited,TORNTPHARM,500420,4078.0,518965,4,Yes
ULTRACEMCO,Ultratech Cement Limited,ULTRACEMCO,532538,12963.0,178236,4,Yes
UNIONBANK,Union Bank Of India,UNIONBANK,532477,178.87,8733451,4,Yes
