symbol,name,close,volume,source_screener,scraped_at
PAGEIND,Page Industries Limited,35560,34565,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923273
POWERINDIA,Hitachi Energy India Ltd,21871,993958,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923290
FORCEMOT,Force Motors Ltd,21390,108947,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923294
LMW,LMW Ltd,15536,835,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923296
APARINDS,Apar Industries Limited,9490,41541,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923298
VOLTAMP,Voltamp Transformers Limited,7973,37687,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923300
AMBER,Amber Enterprises India Ltd,6640,442275,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923302
BLUEDART,Blue Dart Express Limited,5845.5,18202,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923303
CERA,Cera Sanitaryware Limited,5167.1,23703,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923305
FINEORG,Fine Organic Industries Ltd,4412.8,4672,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923307
GRWRHITECH,Garware Hi Tech Films Ltd,4258.4,170101,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923308
GVT&D,GE Vernova T&D India Ltd,3552.2,844629,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923310
INGERRAND,Ingersoll Rand (india) Limited,3458,2989,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923312
MTARTECH,MTAR Technologies Ltd,3270.7,575272,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923313
TIMKEN,Timken India Limited,3238.5,33980,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923315
WAAREEENER,Waaree Energies Ltd,3087.7,951575,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923316
ENRIN,Siemens Energy India Ltd,2740.6,1091498,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923318
ANGELONE,Angel One Ltd,2642,469671,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923320
PRUDENT,Prudent Corporate Advisory Services Ltd,2573.5,125110,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923321
E2E,E2E Networks Ltd,2498.1,203107,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923323
GLAXO,Glaxosmithkline Pharmaceuticals Limited,2484,75210,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923324
TIIL,Technocraft Industries (india) Limited,2323.6,7795,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923326
POWERMECH,Power Mech Projects Limited,2105,103440,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923327
METROPOLIS,Metropolis Healthcare Ltd,1986.9,84253,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923329
ACUTAAS,Acutaas Chemicals Ltd,1986.9,304904,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923330
PGIL,Pearl Global Industries Limited,1834.8,55860,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923332
SKFINDIA,Skf India Limited,1752.5,60755,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923333
GRINDWELL,Grindwell Norton Limited,1638.3,41019,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923335
KIRLOSBROS,Kirloskar Brothers Limited,1603.6,1644409,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923336
BHARATFORG,Bharat Forge Limited,1557.5,638178,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923338
UBL,United Breweries Limited,1524.8,183243,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923339
LALPATHLAB,Dr. Lal Path Labs Ltd.,1443.4,195854,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923341
MANORAMA,Manorama Industries Ltd,1408,86605,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923342
CONCORDBIO,Concord Biotech Ltd,1327.2,3830074,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923344
MGL,Mahanagar Gas Limited,1152.6,1212302,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923345
TCI,Transport Corporation Of India Limited,1063.4,11570,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923347
TECHNOE,Techno Electric & Engineering Company Ltd,1035.75,102105,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923348
AVALON,Avalon Technologies Ltd,1029.1,1560085,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923350
AVANTIFEED,Avanti Feeds Limited,1025.5,2021772,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923351
RAYMONDLSL,Raymond Lifestyle Ltd,992,70127,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923353
GRINFRA,G R Infraprojects Ltd,990.9,19166,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923354
KPRMILL,K.p.r. Mill Limited,977.3,417806,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923356
NAM-INDIA,Nippon Life India Asset Management Ltd,919.8,375447,https://chartink.com/screener/hm-weekly-crossover-midcap,2026-02-08T00:14:31.923358
